ID,tract,name,city,state,population,area (km2),pop density,,
13,514201,Laney Construction Materials,Woodbine,MD,5371,46.78942755,114.7908893,,
22,303700,"Maryland Paving (Aberdeen)",Aberdeen,MD,3867,34.10524487,113.3843201,,
101,40102,W-L Construction & Paving (Strasburg),Strasburg,VA,9919,99.57935872,99.60899656,,
70,50101,W-L Construction & Paving (Wytheville),Wytheville,VA,5722,57.95136805,98.7379624,,
34,875100,C.A. Bean Asphalt,Mechanicsville,MD,5371,54.63365225,98.30937122,,
117,100403,A and A Contractors,Chester,VA,7006,71.43440899,98.07598465,,
104,70701,"B & S Contracting (Augusta)",Augusta,VA,4800,55.65521666,86.24528459,,
33,30905,Principio Asphalt,Port Deposit,MD,2703,32.92804215,82.08808734,,
55,1502,IA Construction Corp - Rock Cut Asphalt Plant,Corriganville,MD,1845,23.78980941,77.55421526,,
64,930501,,,,10352,141.6888579,73.06149656,,
63,930502,,,,6267,88.51858477,70.79869178,,
98,10300,Boxley (Salem),Salem,VA,46082,672.8324108,68.48956628,,
60,11202,,,,8701,128.3559967,67.78802881,,
80,75502,Blair Asphalt,Suffolk,VA,4162,61.68053403,67.47671799,,
96,300,Colony Construction (Burkeville),Burkeville,VA,40358,612.2502957,65.91748552,,
125,400102,Allan Myers (Rockville),Rockville,VA,4072,62.45895927,65.19481028,,
94,400102,Allan Myers,Rockville,VA,4072,62.45895927,65.19481028,,
29,752302,Francis O. Day Company (Frederick),Frederick,MD,4274,68.51640578,62.37922073,,
126,950301,Boxley (Louisa),Louisa,VA,5818,100.071787,58.13826429,,
62,10401,Superior Paving,,,20328,363.5092603,55.92154649,,
92,500101,Allan Myers (Powhatan),Powhatan,VA,6783,129.0914022,52.54416548,,
91,500101,Colony Construction (Powhatan),Powhatan,VA,6783,129.0914022,52.54416548,,
21,10900,Allan Myers - Capitol Asphalt,Washington,DC,20389,403.3667536,50.54705133,,
97,10800,J.C. Joyce Trucking & Paving,Martinsville,VA,26691,574.0191951,46.49844505,,
30,767600,"C J Miller (Woodsboro/Keymar)",Keymar,MD,3170,71.29166842,44.46522392,,
73,20200,W-L Construction & Paving (Bluefield),Bluefield,VA,38361,911.5421767,42.08362595,,
24,810500,"David A. Bramble (Wye Mills)",Wye Mills,MD,8826,214.4821799,41.15027181,,
71,30600,W-L Construction & Paving (Castlewood),Castlewood,VA,15636,400.1659457,39.07378968,,
115,30201,W-L Construction & Paving (Abingdon),Abingdon,VA,20261,536.0175886,37.79913277,,
36,970300,Russell Paving,East New Market,MD,4577,134.19946,34.10594945,,
116,10600,W-L Construction & Paving (Oakwood),Oakwood,VA,20444,668.6715418,30.57405426,,
78,20315,Superior Paving (Lee Hill),Lee Hill,VA,593,22.8234517,25.98204722,,
112,700302,Allan Myers (West Point),West Point,VA,4459,203.6793815,21.8922503,,
81,10100,Boxley (Arrington),Arrington,VA,38579,1785.022305,21.61261509,,
69,30100,W-L Construction & Paving (Swords Creek),Swords Creek,VA,37157,1887.968268,19.68094519,,
106,320100,Branscome (Doswell),Doswell,VA,6343,331.4656967,19.13621851,,
53,950800,Allan A. Myers (Bishopville),Bishopville,MD,8614,452.841813,19.02209503,,
102,50100,W-L Construction & Paving (Clear Brook),Clear Brook,VA,14768,918.7639248,16.07376999,,
75,40100,Lee Hy Paving,Warsaw,VA,28829,1798.136592,16.0327086,,
31,950100,"David A. Bramble (Massey)",Massey,MD,10782,675.2207475,15.96811123,,
118,931000,W-L Construction & Paving (Norton),Norton,VA,2075,156.2095459,13.28343916,,
