LEA Code,LEA Name,School Code,School Name,Total Unaudited Enrollment (Including Non-Public Enrollment),Total Audited Enrollments (Including Non-Public Enrollment),Students included in UPSFF,Tuition paying non-resident students,Unverified resident students,Audited Non-Public Enrollment,Unverified resident students - Non-Public
001,District of Columbia Public Schools,3117,Kennedy Krieger Greenspring Campus LEAP Program,2,2,0,0,0,2,0
001,District of Columbia Public Schools,1184,Kennedy Krieger School: Powder Mill Campus,9,9,0,0,0,8,1
001,District of Columbia Public Schools,257,Ketcham Elementary School,284,284,274,0,10,0,0
001,District of Columbia Public Schools,272,Key Elementary School,353,353,352,0,1,0,0
001,District of Columbia Public Schools,259,Kimball Elementary School,395,395,395,0,0,0,0
001,District of Columbia Public Schools,344,King Elementary School,226,226,226,0,0,0,0
001,District of Columbia Public Schools,417,Kramer Middle School,208,203,203,0,0,0,0
001,District of Columbia Public Schools,264,LaSalle-Backus Elementary School,255,255,255,0,0,0,0
001,District of Columbia Public Schools,1046,Lab School of Washington DC,14,14,0,0,0,14,0
001,District of Columbia Public Schools,261,Lafayette Elementary School,892,892,886,0,6,0,0
001,District of Columbia Public Schools,262,Langdon Elementary School,355,353,353,0,0,0,0
001,District of Columbia Public Schools,370,Langley Elementary School,338,338,222,0,116,0,0
001,District of Columbia Public Schools,1366,Laurel Heights Hospital,1,1,0,0,0,1,0
001,District of Columbia Public Schools,291,Lawrence E. Boone Elementary School,432,430,430,0,0,0,0
001,District of Columbia Public Schools,266,Leckie Education Campus,454,451,450,0,1,0,0
001,District of Columbia Public Schools,202,Lorraine H. Whitlock Elementary School,137,137,137,0,0,0,0
001,District of Columbia Public Schools,1066,Lt. Joseph P. Kennedy Institute,18,18,0,0,0,18,0
001,District of Columbia Public Schools,271,Ludlow-Taylor Elementary School,433,433,432,0,1,0,0
001,District of Columbia Public Schools,884,Luke C. Moore High School,213,211,210,0,1,0,0
001,District of Columbia Public Schools,420,MacFarland Middle School,529,528,527,0,1,0,0
001,District of Columbia Public Schools,308,Malcolm X Elementary School @ Green,196,195,195,0,0,0,0
001,District of Columbia Public Schools,273,Mann Elementary School,390,390,390,0,0,0,0
001,District of Columbia Public Schools,284,Marie Reed Elementary School,462,462,462,0,0,0,0
001,District of Columbia Public Schools,1055,Maryland School For The Blind Day Baltimore MD,4,4,0,0,0,4,0
001,District of Columbia Public Schools,274,Maury Elementary School,527,527,526,0,1,0,0
001,District of Columbia Public Schools,435,McKinley Middle School,222,222,222,0,0,0,0
001,District of Columbia Public Schools,458,McKinley Technology High School,696,696,687,0,9,0,0
001,District of Columbia Public Schools,1165,Military Road Early Learning Center,62,62,62,0,0,0,0
001,District of Columbia Public Schools,280,Miner Elementary School,368,368,368,0,0,0,0
001,District of Columbia Public Schools,285,Moten Elementary School,223,223,222,0,1,0,0
001,District of Columbia Public Schools,287,Murch Elementary School,651,651,651,0,0,0,0
001,District of Columbia Public Schools,288,Nalle Elementary School,288,285,285,0,0,0,0
001,District of Columbia Public Schools,1183,New Beginnings Vocational Program DC,13,13,0,0,0,13,0
001,District of Columbia Public Schools,290,Noyes Elementary School,242,241,241,0,0,0,0
001,District of Columbia Public Schools,292,Oyster-Adams Bilingual School,767,767,767,0,0,0,0
001,District of Columbia Public Schools,1018,PHILLIPS Programs for Children and Families/ PHILLIPS School ~ Fairfax,13,13,0,0,0,13,0
001,District of Columbia Public Schools,1159,Pathways Horizons,8,7,0,0,0,7,0
001,District of Columbia Public Schools,1155,Pathways School Edgewood Silver Spring MD,3,3,0,0,0,3,0
001,District of Columbia Public Schools,294,Patterson Elementary School,273,273,273,0,0,0,0
001,District of Columbia Public Schools,295,Payne Elementary School,317,317,304,0,13,0,0
001,District of Columbia Public Schools,301,Peabody Elementary School (Capitol Hill Cluster),212,210,210,0,0,0,0
001,District of Columbia Public Schools,478,"Phelps Architecture, Construction and Engineering High School",317,317,307,0,10,0,0
001,District of Columbia Public Schools,1012,Phillips School Annandale Annandale VA,23,23,0,0,0,23,0
001,District of Columbia Public Schools,1013,Phillips School Laurel Laurel MD,15,15,0,0,0,14,1
001,District of Columbia Public Schools,299,Plummer Elementary School,203,203,192,0,11,0,0
001,District of Columbia Public Schools,300,Powell Elementary School,484,484,484,0,0,0,0
001,District of Columbia Public Schools,316,Randle Highlands Elementary School,271,269,267,0,2,0,0
001,District of Columbia Public Schools,302,Raymond Elementary School,358,358,358,0,0,0,0
001,District of Columbia Public Schools,1078,Reginald S Lourie Center Rockville MD,1,1,0,0,0,1,0
001,District of Columbia Public Schools,1191,Ridge School of Montgomery County  Day Program Rockville MD,2,2,0,0,0,2,0
001,District of Columbia Public Schools,304,River Terrace Education Campus,116,116,116,0,0,0,0
001,District of Columbia Public Schools,436,Ron Brown College Preparatory High School,171,169,165,0,4,0,0
001,District of Columbia Public Schools,459,Roosevelt High School,915,913,913,0,0,0,0
001,District of Columbia Public Schools,456,Roosevelt STAY High School,742,740,740,0,0,0,0
001,District of Columbia Public Schools,305,Ross Elementary School,171,171,171,0,0,0,0
001,District of Columbia Public Schools,307,Savoy Elementary School,238,238,238,0,0,0,0
001,District of Columbia Public Schools,409,School Without Walls @ Francis-Stevens,480,479,477,0,2,0,0
001,District of Columbia Public Schools,466,School Without Walls High School,602,602,598,3,1,0,0
001,District of Columbia Public Schools,175,School-Within-School @ Goding,326,326,326,0,0,0,0
001,District of Columbia Public Schools,309,Seaton Elementary School,353,353,353,0,0,0,0
001,District of Columbia Public Schools,313,Shepherd Elementary School,350,350,338,0,12,0,0
001,District of Columbia Public Schools,3005,Sheppard Pratt School-Gaithersburg,5,5,0,0,0,5,0
001,District of Columbia Public Schools,3115,Sheppard Pratt School-Lanham,6,6,0,0,0,6,0
001,District of Columbia Public Schools,3033,Sheppard Pratt School-Rockville,19,19,0,0,0,18,1
