SCHOOL CODE,SCHOOL NAME,By Grade,,,,,,,,,,,,,,,,,
Building Code,Name,Total Enrolled,PK3,PK4,KG,1,2,3,4,5,6,7,8,9,10,11,12,AO*,UN/CE**
295,Payne Elementary School,317,39,38,38,40,36,41,39,46,,,,,,,,,
301,Peabody Elementary School (Capitol Hill Cluster),210,58,76,76,,,,,,,,,,,,,,
478,"Phelps Architecture, Construction and Engineering High School",317,,,,,,,,,,,,93,101,60,63,,
299,Plummer Elementary School,203,22,38,27,27,24,24,26,15,,,,,,,,,
300,Powell Elementary School,484,33,49,70,74,68,71,62,57,,,,,,,,,
316,Randle Highlands Elementary School,269,24,39,32,30,35,37,31,41,,,,,,,,,
302,Raymond Elementary School,358,28,42,40,47,54,43,54,50,,,,,,,,,
436,Ron Brown College Preparatory High School,169,,,,,,,,,,,,60,45,30,34,,
459,Roosevelt High School,913,,,,,,,,,,,,341,271,140,148,,13
305,Ross Elementary School,171,,19,30,28,30,25,25,14,,,,,,,,,
307,Savoy Elementary School,238,25,28,25,41,28,20,35,36,,,,,,,,,
409,School Without Walls @ Francis-Stevens,479,24,19,25,27,25,32,39,36,74,85,93,,,,,,
466,School Without Walls High School,602,,,,,,,,,,,,158,154,140,150,,
943,School-Within-School @ Goding,326,30,42,43,48,45,48,43,27,,,,,,,,,
309,Seaton Elementary School,353,44,50,54,43,39,47,39,37,,,,,,,,,
313,Shepherd Elementary School,350,29,42,42,40,62,48,42,45,,,,,,,,,
315,Simon Elementary School,205,12,23,22,30,31,23,40,24,,,,,,,,,
322,Smothers Elementary School,210,24,28,18,26,38,24,29,23,,,,,,,,,
427,Sousa Middle School,215,,,,,,,,,70,78,67,,,,,,
319,Stanton Elementary School,313,27,42,38,32,43,39,45,47,,,,,,,,,
321,Stoddert Elementary School,444,,20,73,92,63,70,63,63,,,,,,,,,
428,Stuart-Hobson Middle School (Capitol Hill Cluster),464,,,,,,,,,153,155,156,,,,,,
324,Takoma Elementary School,417,43,57,59,70,61,44,42,41,,,,,,,,,
1142,Thaddeus Stevens Early Learning Center,72,37,35,,,,,,,,,,,,,,,
325,Thomas Elementary School,273,17,38,37,39,52,23,33,34,,,,,,,,,
326,Thomson Elementary School,247,35,27,31,35,32,25,29,33,,,,,,,,,
327,Truesdell Elementary School,444,41,60,64,59,60,60,55,45,,,,,,,,,
328,Tubman Elementary School,540,36,36,80,82,72,81,79,74,,,,,,,,,
329,Turner Elementary School,491,41,44,68,80,72,58,64,64,,,,,,,,,
330,Tyler Elementary School,510,58,67,76,68,66,68,60,47,,,,,,,,,
331,Van Ness Elementary School,372,30,41,51,47,56,55,52,40,,,,,,,,,
332,Walker-Jones Education Campus,337,23,19,39,35,26,31,40,24,33,35,32,,,,,,
333,Watkins Elementary School (Capitol Hill Cluster),374,,,,77,71,85,79,62,,,,,,,,,
336,John Lewis Elementary School,427,40,62,63,63,54,57,37,51,,,,,,,,,
335,Wheatley Education Campus,321,24,29,38,28,34,37,32,29,19,21,30,,,,,,
338,Whittier Elementary School,380,43,56,49,53,40,47,46,46,,,,,,,,,
463,Jackson-Reed High School,2153,,,,,,,,,,,,679,549,465,446,,14
