18	504100	Maryland Paving a div of Gray &amp; Son, Inc. - Finksburg Plant	Finksburg	MD	5112	37.54637039151867	136.15164253412752
17	504100	C J Miller, LLC - Finksburg Plants	Finksburg	MD	5112	37.54637039151867	136.15164253412752
37	011302	C. William Hetzer, Inc	Hagerstown	MD	11531	87.76840761755952	131.37984740756573
11	408400	Maryland Paving a div of Gray &amp; Son, Inc. - Texas Plant	Cockeysville	MD	1309	10.02843138933969	130.52888823584897
13	514201	Laney Construction Materials	Woodbine	MD	5371	46.78942755290301	114.79088932915917
22	303700	Maryland Paving a div of Gray &amp; Son, Inc. - Aberdeen Plant	Aberdeen	MD	3867	34.10524487057182	113.38432005620032
101	040102	W-L Construction and Paving, Inc.	Strasburg	VA	9919	99.57935871548021	99.60899656263835
70	050101	W-L Construction and Paving, Inc.	Wytheville	VA	5722	57.95136805363204	98.73796240158613
34	875100	C.A. Bean Asphalt	Mechanicsville	MD	5371	54.63365224705274	98.30937122256445
117	100403	A and A Contractors 	Chester	VA	7006	71.43440899292067	98.07598465179872
104	070701	B and S Contracting, Inc.	Staunton	VA	4800	55.6552166645518	86.24528458726206
33	030905	Principio Asphalt	Port Deposit	MD	2703	32.928042151924146	82.08808733689168
55	001502	IA Construction Corp - Rock Cut Asphalt Plant	Corriganville	MD	1845	23.789809409660567	77.55421526205176
64	930501				10352	141.68885785286741	73.06149655571171
63	930502				6267	88.51858476969137	70.79869178100338
98	010300	Boxley	Salem	VA	46082	672.8324108281021	68.48956628484001
60	011202				8701	128.35599667200037	67.78802880736806
80	075502	Blair Asphalt	Suffolk	VA	4162	61.68053402770739	67.47671798902384
96	000300	Colony Construction Inc	Burkeville	VA	40358	612.2502956921373	65.91748551852645
125	400102	Allan Myers	Rockville	VA	4072	62.45895926888463	65.19481028286299
94	400102	Allan Myers	Rockville	VA	4072	62.45895926888463	65.19481028286299
29	752302	Francis O. Day Company, Inc. - Frederick Asphalt	Frederick	MD	4274	68.51640578006361	62.379220733198714
126	950301	Boxley Materials	Louisa	VA	5818	100.07178698832831	58.13826429099914
62	010401				20328	363.50926031058276	55.92154648998964
91	500101	Colony Construction Inc	Powhatan	VA	6783	129.0914022112421	52.54416548129565
92	500101	Allan Myers	Powhatan	VA	6783	129.0914022112421	52.54416548129565
21	010900	Allan Myers - Capitol Asphalt	Washington 	DC	20389	403.36675359291297	50.547051333281296
97	010800	J.C. Joyce Trucking &amp; Paving	Martinsville	VA	26691	574.0191951130456	46.49844504719665
30	767600	C J Miller, LLC - Woodsboro / Keymar	Keymar	MD	3170	71.29166841896416	44.46522392168836
127	020200	Boxley	Lynchburg	VA	38361	911.542176691321	42.08362594832552
73	020200	W-L Construction and Paving, Inc.	Bluefield	VA	38361	911.542176691321	42.08362594832552
24	810500	David A. Bramble, Inc. - Wye Mills Plant	Wye Mills	MD	8826	214.4821798904263	41.15027180583948
71	030600	W-L Construction and Paving, Inc.	Castlewood	VA	15636	400.16594573730293	39.0737896779067
115	030201	W-L Construction and Paving	Abingdon	VA	20261	536.0175886456605	37.7991327694915
65	950302				6276	182.32927653911173	34.421241169427475
36	970300	Russell Paving Co. Inc.- Russell Asphalt	East New Market	MD	4577	134.1994600418853	34.105949446975885
116	010600	W-L Construction and Paving	Oakwood	VA	20444	668.6715418338018	30.57405425679287
78	020315	Superior Paving Corp.	Lee Hill	VA	593	22.823451704656662	25.98204722377774
58	930404				2758	109.7391823942587	25.132317735805294
112	700302	Allan Myers	West Point	VA	4459	203.67938146505352	21.892250300087724
81	010100	Boxley	Arrington	VA	38579	1785.022304645001	21.612615091480585
69	030100	W-L Construction and Paving	Swords Creek	VA	37157	1887.9682679038235	19.68094518943093
106	320100	Branscome Inc	Doswell	VA	6343	331.46569665757767	19.136218510576885
53	950800	Allan A. Myers - Bishop Plant	Bishopville	MD	8614	452.8418130352231	19.02209502754107
61	030202				17087	967.1072775043862	17.66815367587026
102	050100	W-L Construction and Paving, Inc.	Clear Brook	VA	14768	918.7639247537362	16.073769988257197
75	040100	Lee Hy Paving Co.	Warsaw	VA	28829	1798.1365919267002	16.03270859924483
31	950100	David A. Bramble, Inc. - Massey Plant	Massey	MD	10782	675.2207475202434	15.968111228212445
118	931000	W-L Construction and Paving	Norton	VA	2075	156.20954593883368	13.28343916198629
